date,state,district,market,crop_type,arrivals_quintals,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal
2024-12-25,Haryana,Hisar,Hisar,MUSTARD,,5531,5615,5531
2024-12-09,Haryana,Hisar,Hisar,MUSTARD,,5450,5450,5450
2024-12-02,Haryana,Hisar,Hisar,MUSTARD,,5525,5525,5525
2024-11-29,Haryana,Hisar,Hisar,MUSTARD,,5812,5812,5812
2024-11-28,Haryana,Hisar,Hisar,MUSTARD,,6090,6090,6090
2024-11-26,Haryana,Hisar,Hisar,MUSTARD,,5451,5889,5751
2024-11-23,Haryana,Hisar,Hisar,MUSTARD,,5687,6147,6050
2024-11-22,Haryana,Hisar,Hisar,MUSTARD,,5595,5940,5700
2024-11-21,Haryana,Hisar,Hisar,MUSTARD,,5745,5745,5745
2024-11-20,Haryana,Hisar,Hisar,MUSTARD,,5690,5998,5690
2024-11-19,Haryana,Hisar,Hisar,MUSTARD,,5500,5500,5500
2024-11-18,Haryana,Hisar,Hisar,MUSTARD,,5500,5500,5500
2024-11-14,Haryana,Hisar,Hisar,MUSTARD,,5690,5998,5800
2024-11-13,Haryana,Hisar,Hisar,MUSTARD,,5541,5942,5899
2024-11-11,Haryana,Hisar,Hisar,MUSTARD,,5740,6080,5857
2024-11-09,Haryana,Hisar,Hisar,MUSTARD,,5761,6190,6050
2024-11-08,Haryana,Hisar,Hisar,MUSTARD,,5301,6030,5900
2024-11-07,Haryana,Hisar,Hisar,MUSTARD,,5629,5950,5770
2024-11-06,Haryana,Hisar,Hisar,MUSTARD,,5300,6000,5810
2024-11-05,Haryana,Hisar,Hisar,MUSTARD,,5550,5949,5800
2024-11-04,Haryana,Hisar,Hisar,MUSTARD,,5500,6199,5925
2024-11-02,Haryana,Hisar,Hisar,MUSTARD,,5801,6184,5874
2024-10-30,Haryana,Hisar,Hisar,MUSTARD,,5400,5815,5500
2024-10-29,Haryana,Hisar,Hisar,MUSTARD,,4725,5801,5660
2024-10-28,Haryana,Hisar,Hisar,MUSTARD,,5251,5925,5770
2024-10-26,Haryana,Hisar,Hisar,MUSTARD,,5300,5900,5893
2024-10-25,Haryana,Hisar,Hisar,MUSTARD,,5301,5850,5801
2024-10-24,Haryana,Hisar,Hisar,MUSTARD,,5580,5891,5600
2024-10-19,Haryana,Hisar,Hisar,MUSTARD,,5468,5786,5600
2024-10-18,Haryana,Hisar,Hisar,MUSTARD,,5550,6000,5777.5
2024-10-17,Haryana,Hisar,Hisar,MUSTARD,,5540,6048,6000
2024-10-16,Haryana,Hisar,Hisar,MUSTARD,,5450,6100,5700
2024-10-15,Haryana,Hisar,Hisar,MUSTARD,,6263,6263,6263
2024-10-14,Haryana,Hisar,Hisar,MUSTARD,,5300,6200,5400
2024-10-12,Haryana,Hisar,Hisar,MUSTARD,,6319,6319,6319
