date,state,district,market,crop_type,arrivals_quintals,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal
2024-11-04,Maharashtra,Sangli,Sangli,TURMERIC,1.2,12000,15800,13900
2024-10-16,Maharashtra,Sangli,Sangli,TURMERIC,12.6,10000,14775,12388
2024-10-14,Maharashtra,Sangli,Sangli,TURMERIC,18,12000,13425,12713
2024-10-11,Maharashtra,Sangli,Sangli,TURMERIC,3.8,13100,14900,14000
2024-10-09,Maharashtra,Sangli,Sangli,TURMERIC,3.6,14000,16350,15175
2024-09-25,Maharashtra,Sangli,Sangli,TURMERIC,1,13100,19000,16050
2024-09-09,Maharashtra,Sangli,Sangli,TURMERIC,3.8,12300,15700,14000
2024-08-28,Maharashtra,Sangli,Sangli,TURMERIC,0.4,10050,13200,11625
2024-07-26,Maharashtra,Sangli,Sangli,TURMERIC,,11500,17660,14580
2024-07-24,Maharashtra,Sangli,Sangli,TURMERIC,,11000,18000,14500
2024-07-12,Maharashtra,Sangli,Sangli,TURMERIC,,12500,17050,14775
2024-07-10,Maharashtra,Sangli,Sangli,TURMERIC,,13300,18000,15650
2024-07-08,Maharashtra,Sangli,Sangli,TURMERIC,,13500,18100,15800
2024-07-03,Maharashtra,Sangli,Sangli,TURMERIC,,13800,18000,15900
2024-07-01,Maharashtra,Sangli,Sangli,TURMERIC,,13500,17600,15550
2024-06-26,Maharashtra,Sangli,Sangli,TURMERIC,,14500,20600,17550
2024-06-21,Maharashtra,Sangli,Sangli,TURMERIC,,14500,19000,16750
2024-06-14,Maharashtra,Sangli,Sangli,TURMERIC,,15000,18410,16705
2024-05-25,Maharashtra,Sangli,Sangli,TURMERIC,367.6,16000,22000,19000
2024-05-22,Maharashtra,Sangli,Sangli,TURMERIC,145.2,15500,20000,17750
2024-05-21,Maharashtra,Sangli,Sangli,TURMERIC,408.5,15700,22300,19000
2024-05-20,Maharashtra,Sangli,Sangli,TURMERIC,201.1,16000,21400,18700
2024-05-18,Maharashtra,Sangli,Sangli,TURMERIC,482.9,14500,20500,17500
2024-05-17,Maharashtra,Sangli,Sangli,TURMERIC,273.4,14200,20300,17250
2024-05-16,Maharashtra,Sangli,Sangli,TURMERIC,483.2,14500,21300,17900
2024-05-15,Maharashtra,Sangli,Sangli,TURMERIC,312,14000,18100,16050
2024-05-14,Maharashtra,Sangli,Sangli,TURMERIC,483.6,14400,20010,17205
2024-05-13,Maharashtra,Sangli,Sangli,TURMERIC,514.9,14500,20200,17350
2024-05-11,Maharashtra,Sangli,Sangli,TURMERIC,569.8,14500,22000,18250
2024-05-09,Maharashtra,Sangli,Sangli,TURMERIC,537.5,14500,19900,17200
2024-04-30,Maharashtra,Sangli,Sangli,TURMERIC,539.6,14700,22300,18500
2024-04-29,Maharashtra,Sangli,Sangli,TURMERIC,725.3,14500,21100,17800
